Column,DataType
year,str
state,str
ger_all_male,float64
ger_all_female,float64
ger_all_total,float64
ger_sc_male,float64
ger_sc_female,float64
ger_sc_total,float64
ger_st_male,float64
ger_st_female,float64
ger_st_total,float64
gpi_all,float64
gpi_sc,float64
gpi_st,float64
enr_phd_male,float64
enr_phd_female,float64
enr_phd_total,float64
enr_pg_male,float64
enr_pg_female,float64
enr_pg_total,float64
enr_ug_male,float64
enr_ug_female,float64
enr_ug_total,float64
enr_grand_male,float64
enr_grand_female,float64
enr_grand_total,float64
enr_sc_male,float64
enr_sc_female,float64
enr_sc_total,float64
enr_st_male,float64
enr_st_female,float64
enr_st_total,float64
enr_obc_male,float64
enr_obc_female,float64
enr_obc_total,float64
enr_pwd_male,float64
enr_pwd_female,float64
enr_pwd_total,float64
enr_muslim_male,float64
enr_muslim_female,float64
enr_muslim_total,float64
ptr_all_reg_dist,float64
ptr_all_reg,float64
teacher_total_male,float64
teacher_total_female,float64
teacher_total,float64
teacher_sc_male,float64
teacher_sc_female,float64
teacher_sc_total,float64
teacher_st_male,float64
teacher_st_female,float64
teacher_st_total,float64
teacher_obc_male,float64
teacher_obc_female,float64
teacher_obc_total,float64
total_universities,float64
imputed_flag,int64
