,count,mean,std,min,25%,50%,75%,max
ger_all_male,143.0,28.394523776223775,12.792249756582413,0.3,20.3223,26.1583,36.05,83.5964
ger_all_female,143.0,31.23425384615384,13.937989667961189,1.9,20.21495,28.9886,37.955600000000004,76.9526
ger_all_total,143.0,29.67174545454546,13.008737913871299,1.1,20.299999999999997,27.4,37.0995,75.8394
ger_sc_male,143.0,30.28520699300699,31.29850418202224,0.0,17.36555,22.9312,33.3452,206.5
ger_sc_female,143.0,36.45552167832168,49.10667755550318,0.0,18.8831,26.0243,36.349999999999994,335.4
ger_sc_total,143.0,31.474844755244753,32.99309700943149,0.0,18.35,25.5943,34.6476,241.1
ger_st_male,143.0,19.221404195804194,13.04394959056688,0.0,10.600000000000001,18.5919,26.73505,50.2
ger_st_female,143.0,20.27409090909091,13.323837499563552,0.0,12.29055,18.694,29.35115,51.9559
ger_st_total,143.0,19.73307762237762,12.949997879500721,0.0,12.09005,19.0,28.12755,49.2277
gpi_all,143.0,1.2109384615384615,0.5987379194491934,0.79,0.9695,1.059,1.24085,6.3333
gpi_sc,143.0,1.3529594405594407,1.998118393735867,0.58,0.9291,1.0104,1.1815,14.8407
gpi_st,143.0,1.162081118881119,0.5502725477012904,0.67,0.93065,1.0294,1.2178499999999999,5.0
enr_phd_male,143.0,3057.2237762237764,3606.9754670629645,0.0,402.5,1955.0,4283.0,17443.0
enr_phd_female,143.0,2510.188811188811,3142.7799256840085,0.0,330.5,1291.0,3803.5,16968.0
enr_phd_total,143.0,5567.4125874125875,6680.177575577532,0.0,739.0,3430.0,7937.5,34411.0
enr_pg_male,143.0,55945.61538461538,69109.83517152633,0.0,4876.5,33887.0,80899.0,348726.0
enr_pg_female,143.0,71950.25874125875,87284.38787952288,23.0,5815.5,45833.0,101433.0,411389.0
enr_pg_total,143.0,127893.84615384616,155642.7014026672,26.0,10465.0,80508.0,184069.5,760115.0
enr_ug_male,143.0,457108.7272727273,600134.5052182954,14.0,24339.5,269915.0,755126.0,3033329.0
enr_ug_female,143.0,432882.93706293707,560754.3118391389,74.0,28188.0,278078.0,633840.5,2791519.0
enr_ug_total,143.0,889991.6643356644,1157797.1592603382,88.0,51412.0,547993.0,1367633.0,5779098.0
enr_grand_male,143.0,444605.7482517483,703598.2352984486,7.0,4670.0,53538.0,571798.0,3669318.0
enr_grand_female,143.0,418865.3706293706,647041.3355290858,6.0,5758.0,54480.0,607695.0,3304106.0
enr_grand_total,143.0,863277.2237762237,1348478.9351165856,11.0,10177.0,106667.0,1141621.5,6973424.0
enr_sc_male,143.0,84859.84615384616,122373.82593059538,0.0,1051.0,34488.0,115482.0,658397.0
enr_sc_female,143.0,81167.69230769231,119321.56536413237,0.0,1070.0,36535.0,118732.0,620749.0
enr_sc_total,143.0,166027.53846153847,241185.94507709015,0.0,2288.0,72272.0,226335.5,1264416.0
enr_st_male,143.0,32727.60839160839,37953.67483330969,14.0,3586.0,17660.0,51514.0,176760.0
enr_st_female,143.0,32628.104895104894,37076.188942731,74.0,5369.0,15689.0,54126.0,166351.0
enr_st_total,143.0,65355.71328671329,74723.93106050782,88.0,8889.0,35213.0,107251.5,340033.0
enr_obc_male,143.0,210921.0909090909,311652.092719396,0.0,3883.5,83549.0,308351.5,1533962.0
enr_obc_female,143.0,201642.96503496505,304142.2346306619,0.0,3977.0,64796.0,322060.5,1425215.0
enr_obc_total,143.0,412564.05594405596,614230.9766350548,0.0,8757.0,155188.0,633979.5,2959177.0
enr_pwd_male,143.0,1375.8531468531469,1837.3380927348878,0.0,86.5,514.0,2056.0,9484.0
enr_pwd_female,143.0,1047.1328671328672,1576.0173653050686,0.0,51.0,316.0,1518.5,8694.0
enr_pwd_total,143.0,2422.986013986014,3331.6943009970128,0.0,152.5,960.0,3774.0,18050.0
enr_muslim_male,143.0,28412.734265734267,38884.10276470594,14.0,667.5,7869.0,56049.0,164066.0
enr_muslim_female,143.0,28155.853146853147,42691.63997885202,22.0,676.0,4232.0,48732.5,198886.0
enr_muslim_total,143.0,56568.58741258741,81197.91518852177,70.0,1555.5,12744.0,106218.5,357676.0
ptr_all_reg_dist,143.0,27.30346013986014,11.572391022012594,8.8,18.96765,26.3726,30.604750000000003,68.7487
ptr_all_reg,143.0,22.95916573426574,10.23566616382138,5.9055,16.004649999999998,21.8993,25.71165,64.1956
teacher_total_male,143.0,24286.447552447553,31062.65674241142,5.0,1555.0,10881.0,35517.5,121594.0
teacher_total_female,143.0,18144.99300699301,23334.892361010596,5.0,1854.5,7428.0,28703.0,105320.0
teacher_total,143.0,42431.44055944056,53406.54358765972,10.0,3365.0,20630.0,61680.5,208736.0
teacher_sc_male,143.0,2416.377622377622,3594.8974163196804,1.0,56.0,869.0,2468.5,12835.0
teacher_sc_female,143.0,1424.4545454545455,2284.8685286777154,0.0,28.5,438.0,1502.5,11158.0
teacher_sc_total,143.0,3840.8321678321677,5763.894301679185,1.0,81.5,1411.0,3992.5,23993.0
teacher_st_male,143.0,607.93006993007,675.8336182688676,3.0,85.5,333.0,802.5,2336.0
teacher_st_female,143.0,446.5944055944056,452.84919975082335,2.0,61.0,248.0,737.0,1730.0
teacher_st_total,143.0,1054.5244755244755,1051.2813900266895,6.0,161.5,553.0,1752.0,3415.0
teacher_obc_male,143.0,8004.531468531469,14281.585985133559,0.0,160.0,1839.0,8827.0,72558.0
teacher_obc_female,143.0,5652.762237762237,12637.60031762919,0.0,89.5,1228.0,4776.0,75109.0
teacher_obc_total,143.0,13657.293706293707,26527.363606265975,0.0,258.5,3348.0,13517.0,147003.0
total_universities,143.0,30.18881118881119,26.756321103606727,0.0,5.0,28.0,46.0,92.0
imputed_flag,143.0,0.3076923076923077,0.4631607458428526,0.0,0.0,0.0,1.0,1.0
