Column,Missing_Count,Missing_Percentage
year,0,0.0
state,0,0.0
ger_all_male,0,0.0
ger_all_female,0,0.0
ger_all_total,0,0.0
ger_sc_male,0,0.0
ger_sc_female,0,0.0
ger_sc_total,0,0.0
ger_st_male,0,0.0
ger_st_female,0,0.0
ger_st_total,0,0.0
gpi_all,0,0.0
gpi_sc,0,0.0
gpi_st,0,0.0
enr_phd_male,0,0.0
enr_phd_female,0,0.0
enr_phd_total,0,0.0
enr_pg_male,0,0.0
enr_pg_female,0,0.0
enr_pg_total,0,0.0
enr_ug_male,0,0.0
enr_ug_female,0,0.0
enr_ug_total,0,0.0
enr_grand_male,0,0.0
enr_grand_female,0,0.0
enr_grand_total,0,0.0
enr_sc_male,0,0.0
enr_sc_female,0,0.0
enr_sc_total,0,0.0
enr_st_male,0,0.0
enr_st_female,0,0.0
enr_st_total,0,0.0
enr_obc_male,0,0.0
enr_obc_female,0,0.0
enr_obc_total,0,0.0
enr_pwd_male,0,0.0
enr_pwd_female,0,0.0
enr_pwd_total,0,0.0
enr_muslim_male,0,0.0
enr_muslim_female,0,0.0
enr_muslim_total,0,0.0
ptr_all_reg_dist,0,0.0
ptr_all_reg,0,0.0
teacher_total_male,0,0.0
teacher_total_female,0,0.0
teacher_total,0,0.0
teacher_sc_male,0,0.0
teacher_sc_female,0,0.0
teacher_sc_total,0,0.0
teacher_st_male,0,0.0
teacher_st_female,0,0.0
teacher_st_total,0,0.0
teacher_obc_male,0,0.0
teacher_obc_female,0,0.0
teacher_obc_total,0,0.0
total_universities,0,0.0
imputed_flag,0,0.0
