Feature,Correlation_With_GER
ger_all_total,1.0
ger_all_male,0.9803566748872581
ger_all_female,0.9761490276221381
teacher_obc_female,0.28050377874742627
teacher_sc_female,0.2567527313641313
teacher_obc_total,0.2498204000061836
enr_phd_female,0.2488772370532672
ger_sc_male,0.2482013550990082
ger_sc_total,0.23272722280815406
teacher_total_female,0.22077347967809627
teacher_obc_male,0.21581510254117328
enr_phd_total,0.21526013748461
ger_st_female,0.21240050413865044
ger_st_total,0.2106889822158854
ger_st_male,0.20196659053132843
teacher_sc_total,0.1983080747205848
enr_phd_male,0.1818170278002258
teacher_total,0.16110237578545678
teacher_sc_male,0.1547695196494929
enr_pwd_female,0.14676468703240395
enr_pg_female,0.13408963510123784
enr_pwd_total,0.12696735902491585
enr_pg_total,0.11703392003074047
teacher_total_male,0.111136523145296
enr_pwd_male,0.10434265302471157
enr_pg_male,0.09419870202977541
enr_obc_female,0.07819150165490377
enr_obc_total,0.07020315782186284
enr_obc_male,0.06205514611047737
enr_sc_female,0.047001341499399336
ger_sc_female,0.04665608456095815
enr_grand_female,0.04499334101508493
enr_grand_total,0.03744388553418991
enr_sc_total,0.0310508407841592
enr_grand_male,0.030395425172718288
enr_ug_female,0.019455807780914356
enr_sc_male,0.015368913439953084
enr_ug_total,0.009801209858617725
total_universities,0.00727812842757928
imputed_flag,0.0030855474037225186
enr_ug_male,0.0007296444786181992
enr_muslim_male,-0.02339116001970025
enr_muslim_total,-0.028257015842025366
enr_muslim_female,-0.03243882189852173
teacher_st_male,-0.06296893605146643
ptr_all_reg_dist,-0.12613941620869984
teacher_st_total,-0.1313596697926168
enr_st_male,-0.16889941070077333
enr_st_total,-0.18622904536180862
enr_st_female,-0.20243216058150654
teacher_st_female,-0.21097410002136568
gpi_sc,-0.21281314368619428
gpi_st,-0.3156928696376971
gpi_all,-0.33358325913177744
ptr_all_reg,-0.35988256830087456
