Feature,Outlier_Count
teacher_obc_female,25
teacher_obc_total,24
teacher_obc_male,23
teacher_sc_total,20
teacher_sc_male,20
teacher_sc_female,19
teacher_st_male,13
teacher_total,13
ger_sc_total,12
ger_sc_female,12
teacher_total_male,12
ptr_all_reg_dist,12
ger_sc_male,12
enr_grand_male,12
gpi_all,11
enr_pg_female,11
enr_pg_total,11
enr_pg_male,10
enr_grand_female,9
ptr_all_reg,9
enr_sc_total,9
enr_sc_male,9
enr_grand_total,9
enr_phd_male,9
enr_ug_total,8
enr_obc_female,8
gpi_sc,8
gpi_st,8
enr_phd_total,8
enr_muslim_female,8
enr_obc_total,8
enr_pwd_female,8
enr_obc_male,8
enr_ug_male,8
enr_sc_female,8
enr_pwd_total,7
teacher_total_female,7
enr_phd_female,6
enr_st_male,6
enr_pwd_male,5
enr_muslim_total,5
enr_ug_female,4
enr_muslim_male,4
enr_st_total,4
enr_st_female,4
ger_all_female,4
ger_all_male,3
ger_all_total,3
ger_st_total,0
teacher_st_female,0
teacher_st_total,0
ger_st_female,0
ger_st_male,0
total_universities,0
imputed_flag,0
